,arja,avatar,cardumen,fixminer,genprog,jGenProg,jKali,jmutrepair,kali,kpar,rsrepair,tbar
window-size 0,36.00%,54.23%,-7.32%,8.44%,76.63%,7.81%,29.49%,16.34%,6.36%,37.55%,22.31%,52.74%
window-size 2,36.00%,54.50%,-7.32%,8.44%,76.63%,7.81%,29.49%,16.34%,6.36%,37.55%,26.67%,53.20%
window-size 4,36.00%,54.50%,-7.32%,8.44%,76.63%,7.81%,29.49%,16.34%,6.36%,37.55%,26.67%,53.28%
window-size 6,22.14%,54.51%,-7.32%,8.44%,76.60%,7.81%,29.49%,16.34%,6.36%,37.55%,3.98%,53.36%
window-size 8,22.28%,54.58%,-7.32%,8.44%,76.60%,7.81%,29.49%,16.34%,6.36%,37.55%,3.98%,53.27%
window-size 10,21.05%,54.58%,-7.32%,8.44%,76.63%,7.81%,29.49%,16.34%,6.36%,37.55%,3.98%,53.27%
