,arja,avatar,cardumen,fixminer,genprog,jGenProg,jKali,jmutrepair,kali,kpar,rsrepair,tbar
partial,36.00%,54.23%,-7.32%,8.44%,76.63%,7.81%,29.49%,16.34%,6.36%,37.55%,22.31%,52.74%
full,-19.66%,55.58%,-10.98%,8.44%,54.94%,-3.12%,37.18%,16.34%,10.09%,36.84%,19.33%,53.08%
